zone_id,name,geometry
16015,Q16 - 219,"POLYGON ((-111.929008 33.413002, -111.928009 33.413002, -111.928009 33.412003, -111.929008 33.412003, -111.929008 33.413002))"
16018,Q19 - 43,"POLYGON ((-111.929008 33.410000, -111.928009 33.410000, -111.928009 33.409000, -111.929008 33.409000, -111.929008 33.410000))"
17003,R4 - 0,"POLYGON ((-111.928009 33.425003, -111.927002 33.425003, -111.927002 33.424000, -111.928009 33.424000, -111.928009 33.425003))"
17004,R5 - 227,"POLYGON ((-111.928009 33.424000, -111.927002 33.424000, -111.927002 33.423000, -111.928009 33.423000, -111.928009 33.424000))"
17005,R6 - 225,"POLYGON ((-111.928009 33.423000, -111.927002 33.423000, -111.927002 33.422001, -111.928009 33.422001, -111.928009 33.423000))"
17007,R8 - 215,"POLYGON ((-111.928009 33.421001, -111.927002 33.421001, -111.927002 33.420002, -111.928009 33.420002, -111.928009 33.421001))"
17009,R10 - 187,"POLYGON ((-111.928009 33.419003, -111.927002 33.419003, -111.927002 33.418003, -111.928009 33.418003, -111.928009 33.419003))"
17013,R14 - 194,"POLYGON ((-111.928009 33.415001, -111.927002 33.415001, -111.927002 33.414001, -111.928009 33.414001, -111.928009 33.415001))"
18000,S1 - 200,"POLYGON ((-111.927002 33.428001, -111.926003 33.428001, -111.926003 33.427002, -111.927002 33.427002, -111.927002 33.428001))"
18003,S4 - 244,"POLYGON ((-111.927002 33.425003, -111.926003 33.425003, -111.926003 33.424000, -111.927002 33.424000, -111.927002 33.425003))"
18004,S5 - 113,"POLYGON ((-111.927002 33.424000, -111.926003 33.424000, -111.926003 33.423000, -111.927002 33.423000, -111.927002 33.424000))"
18005,S6 - 147,"POLYGON ((-111.927002 33.423000, -111.926003 33.423000, -111.926003 33.422001, -111.927002 33.422001, -111.927002 33.423000))"
18007,S8 - 111,"POLYGON ((-111.927002 33.421001, -111.926003 33.421001, -111.926003 33.420002, -111.927002 33.420002, -111.927002 33.421001))"
18008,S9 - 34,"POLYGON ((-111.927002 33.420002, -111.926003 33.420002, -111.926003 33.419003, -111.927002 33.419003, -111.927002 33.420002))"
18011,S12 - 33,"POLYGON ((-111.927002 33.417000, -111.926003 33.417000, -111.926003 33.416000, -111.927002 33.416000, -111.927002 33.417000))"
18013,S14 - 245,"POLYGON ((-111.927002 33.415001, -111.926003 33.415001, -111.926003 33.414001, -111.927002 33.414001, -111.927002 33.415001))"
18015,S16 - 32,"POLYGON ((-111.927002 33.413002, -111.926003 33.413002, -111.926003 33.412003, -111.927002 33.412003, -111.927002 33.413002))"
18017,S18 - 21,"POLYGON ((-111.927002 33.411003, -111.926003 33.411003, -111.926003 33.410000, -111.927002 33.410000, -111.927002 33.411003))"
18018,S19 - 61,"POLYGON ((-111.927002 33.410000, -111.926003 33.410000, -111.926003 33.409000, -111.927002 33.409000, -111.927002 33.410000))"
19004,T5 - 149,"POLYGON ((-111.926003 33.424000, -111.925003 33.424000, -111.925003 33.423000, -111.926003 33.423000, -111.926003 33.424000))"
