zone_id,name,geometry
4009,E10 - 7112,"POLYGON ((-111.941002 33.419003, -111.940002 33.419003, -111.940002 33.418003, -111.941002 33.418003, -111.941002 33.419003))"
4010,E11 - 3068,"POLYGON ((-111.941002 33.418003, -111.940002 33.418003, -111.940002 33.417000, -111.941002 33.417000, -111.941002 33.418003))"
4011,E12 - 2706,"POLYGON ((-111.941002 33.417000, -111.940002 33.417000, -111.940002 33.416000, -111.941002 33.416000, -111.941002 33.417000))"
4013,E14 - 3144,"POLYGON ((-111.941002 33.415001, -111.940002 33.415001, -111.940002 33.414001, -111.941002 33.414001, -111.941002 33.415001))"
4014,E15 - 1366,"POLYGON ((-111.941002 33.414001, -111.940002 33.414001, -111.940002 33.413002, -111.941002 33.413002, -111.941002 33.414001))"
5000,F1 - 1581,"POLYGON ((-111.940002 33.428001, -111.939003 33.428001, -111.939003 33.427002, -111.940002 33.427002, -111.940002 33.428001))"
5001,F2 - 12292,"POLYGON ((-111.940002 33.427002, -111.939003 33.427002, -111.939003 33.426003, -111.940002 33.426003, -111.940002 33.427002))"
5002,F3 - 10567,"POLYGON ((-111.940002 33.426003, -111.939003 33.426003, -111.939003 33.425003, -111.940002 33.425003, -111.940002 33.426003))"
5003,F4 - 5482,"POLYGON ((-111.940002 33.425003, -111.939003 33.425003, -111.939003 33.424000, -111.940002 33.424000, -111.940002 33.425003))"
5004,F5 - 2882,"POLYGON ((-111.940002 33.424000, -111.939003 33.424000, -111.939003 33.423000, -111.940002 33.423000, -111.940002 33.424000))"
5005,F6 - 12238,"POLYGON ((-111.940002 33.423000, -111.939003 33.423000, -111.939003 33.422001, -111.940002 33.422001, -111.940002 33.423000))"
5006,F7 - 7849,"POLYGON ((-111.940002 33.422001, -111.939003 33.422001, -111.939003 33.421001, -111.940002 33.421001, -111.940002 33.422001))"
5007,F8 - 11833,"POLYGON ((-111.940002 33.421001, -111.939003 33.421001, -111.939003 33.420002, -111.940002 33.420002, -111.940002 33.421001))"
5008,F9 - 2307,"POLYGON ((-111.940002 33.420002, -111.939003 33.420002, -111.939003 33.419003, -111.940002 33.419003, -111.940002 33.420002))"
5009,F10 - 7111,"POLYGON ((-111.940002 33.419003, -111.939003 33.419003, -111.939003 33.418003, -111.940002 33.418003, -111.940002 33.419003))"
5010,F11 - 4392,"POLYGON ((-111.940002 33.418003, -111.939003 33.418003, -111.939003 33.417000, -111.940002 33.417000, -111.940002 33.418003))"
5011,F12 - 6929,"POLYGON ((-111.940002 33.417000, -111.939003 33.417000, -111.939003 33.416000, -111.940002 33.416000, -111.940002 33.417000))"
5012,F13 - 986,"POLYGON ((-111.940002 33.416000, -111.939003 33.416000, -111.939003 33.415001, -111.940002 33.415001, -111.940002 33.416000))"
5013,F14 - 2834,"POLYGON ((-111.940002 33.415001, -111.939003 33.415001, -111.939003 33.414001, -111.940002 33.414001, -111.940002 33.415001))"
5014,F15 - 1365,"POLYGON ((-111.940002 33.414001, -111.939003 33.414001, -111.939003 33.413002, -111.940002 33.413002, -111.940002 33.414001))"
5015,F16 - 6654,"POLYGON ((-111.940002 33.413002, -111.939003 33.413002, -111.939003 33.412003, -111.940002 33.412003, -111.940002 33.413002))"
5016,F17 - 658,"POLYGON ((-111.940002 33.412003, -111.939003 33.412003, -111.939003 33.411003, -111.940002 33.411003, -111.940002 33.412003))"
5017,F18 - 10976,"POLYGON ((-111.940002 33.411003, -111.939003 33.411003, -111.939003 33.410000, -111.940002 33.410000, -111.940002 33.411003))"
6000,G1 - 6347,"POLYGON ((-111.939003 33.428001, -111.938004 33.428001, -111.938004 33.427002, -111.939003 33.427002, -111.939003 33.428001))"
6001,G2 - 6327,"POLYGON ((-111.939003 33.427002, -111.938004 33.427002, -111.938004 33.426003, -111.939003 33.426003, -111.939003 33.427002))"
6002,G3 - 1631,"POLYGON ((-111.939003 33.426003, -111.938004 33.426003, -111.938004 33.425003, -111.939003 33.425003, -111.939003 33.426003))"
6004,G5 - 2897,"POLYGON ((-111.939003 33.424000, -111.938004 33.424000, -111.938004 33.423000, -111.939003 33.423000, -111.939003 33.424000))"
6005,G6 - 7909,"POLYGON ((-111.939003 33.423000, -111.938004 33.423000, -111.938004 33.422001, -111.939003 33.422001, -111.939003 33.423000))"
6006,G7 - 1495,"POLYGON ((-111.939003 33.422001, -111.938004 33.422001, -111.938004 33.421001, -111.939003 33.421001, -111.939003 33.422001))"
6007,G8 - 2475,"POLYGON ((-111.939003 33.421001, -111.938004 33.421001, -111.938004 33.420002, -111.939003 33.420002, -111.939003 33.421001))"
6008,G9 - 2295,"POLYGON ((-111.939003 33.420002, -111.938004 33.420002, -111.938004 33.419003, -111.939003 33.419003, -111.939003 33.420002))"
6010,G11 - 4377,"POLYGON ((-111.939003 33.418003, -111.938004 33.418003, -111.938004 33.417000, -111.939003 33.417000, -111.939003 33.418003))"
6012,G13 - 1014,"POLYGON ((-111.939003 33.416000, -111.938004 33.416000, -111.938004 33.415001, -111.939003 33.415001, -111.939003 33.416000))"
6013,G14 - 1037,"POLYGON ((-111.939003 33.415001, -111.938004 33.415001, -111.938004 33.414001, -111.939003 33.414001, -111.939003 33.415001))"
6014,G15 - 7773,"POLYGON ((-111.939003 33.414001, -111.938004 33.414001, -111.938004 33.413002, -111.939003 33.413002, -111.939003 33.414001))"
6016,G17 - 668,"POLYGON ((-111.939003 33.412003, -111.938004 33.412003, -111.938004 33.411003, -111.939003 33.411003, -111.939003 33.412003))"
7002,H3 - 1634,"POLYGON ((-111.938004 33.426003, -111.937004 33.426003, -111.937004 33.425003, -111.938004 33.425003, -111.938004 33.426003))"
7003,H4 - 10811,"POLYGON ((-111.938004 33.425003, -111.937004 33.425003, -111.937004 33.424000, -111.938004 33.424000, -111.938004 33.425003))"
7004,H5 - 2949,"POLYGON ((-111.938004 33.424000, -111.937004 33.424000, -111.937004 33.423000, -111.938004 33.423000, -111.938004 33.424000))"
7005,H6 - 5447,"POLYGON ((-111.938004 33.423000, -111.937004 33.423000, -111.937004 33.422001, -111.938004 33.422001, -111.938004 33.423000))"
7006,H7 - 1497,"POLYGON ((-111.938004 33.422001, -111.937004 33.422001, -111.937004 33.421001, -111.938004 33.421001, -111.938004 33.422001))"
7008,H9 - 6272,"POLYGON ((-111.938004 33.420002, -111.937004 33.420002, -111.937004 33.419003, -111.938004 33.419003, -111.938004 33.420002))"
7010,H11 - 4364,"POLYGON ((-111.938004 33.418003, -111.937004 33.418003, -111.937004 33.417000, -111.938004 33.417000, -111.938004 33.418003))"
7011,H12 - 2774,"POLYGON ((-111.938004 33.417000, -111.937004 33.417000, -111.937004 33.416000, -111.938004 33.416000, -111.938004 33.417000))"
7013,H14 - 1058,"POLYGON ((-111.938004 33.415001, -111.937004 33.415001, -111.937004 33.414001, -111.938004 33.414001, -111.938004 33.415001))"
7014,H15 - 2053,"POLYGON ((-111.938004 33.414001, -111.937004 33.414001, -111.937004 33.413002, -111.938004 33.413002, -111.938004 33.414001))"
7015,H16 - 6724,"POLYGON ((-111.938004 33.413002, -111.937004 33.413002, -111.937004 33.412003, -111.938004 33.412003, -111.938004 33.413002))"
7016,H17 - 708,"POLYGON ((-111.938004 33.412003, -111.937004 33.412003, -111.937004 33.411003, -111.938004 33.411003, -111.938004 33.412003))"
8002,I3 - 1647,"POLYGON ((-111.937004 33.426003, -111.936005 33.426003, -111.936005 33.425003, -111.937004 33.425003, -111.937004 33.426003))"
8003,I4 - 108,"POLYGON ((-111.937004 33.425003, -111.936005 33.425003, -111.936005 33.424000, -111.937004 33.424000, -111.937004 33.425003))"
8004,I5 - 2965,"POLYGON ((-111.937004 33.424000, -111.936005 33.424000, -111.936005 33.423000, -111.937004 33.423000, -111.937004 33.424000))"
8005,I6 - 4797,"POLYGON ((-111.937004 33.423000, -111.936005 33.423000, -111.936005 33.422001, -111.937004 33.422001, -111.937004 33.423000))"
8006,I7 - 1523,"POLYGON ((-111.937004 33.422001, -111.936005 33.422001, -111.936005 33.421001, -111.937004 33.421001, -111.937004 33.422001))"
